"id","opis","naziv","ekstenzija","url","binarni","dozvoljen"
204,"GrafEq","application/vnd.grafeq",".gqf","http://www.iana.org/assignments/media-types/application/vnd.grafeq","t","f"
205,"Graphics Interchange Format","image/gif",".gif","http://en.wikipedia.org/wiki/Gif","t","f"
206,"Graphviz","text/vnd.graphviz",".gv","http://www.iana.org/assignments/media-types/text/vnd.graphviz","f","f"
207,"Groove - Account","application/vnd.groove-account",".gac","http://www.iana.org/assignments/media-types/application/vnd.groove-account","t","f"
208,"Groove - Help","application/vnd.groove-help",".ghf","http://www.iana.org/assignments/media-types/application/vnd.groove-help","t","f"
209,"Groove - Identity Message","application/vnd.groove-identity-message",".gim","http://www.iana.org/assignments/media-types/application/vnd.groove-identity-message","t","f"
210,"Groove - Injector","application/vnd.groove-injector",".grv","http://www.iana.org/assignments/media-types/application/vnd.groove-injector","t","f"
211,"Groove - Tool Message","application/vnd.groove-tool-message",".gtm","http://www.iana.org/assignments/media-types/application/vnd.groove-tool-message","t","f"
212,"Groove - Tool Template","application/vnd.groove-tool-template",".tpl","http://www.iana.org/assignments/media-types/application/vnd.groove-tool-template","t","f"
213,"Groove - Vcard","application/vnd.groove-vcard",".vcg","http://www.iana.org/assignments/media-types/application/vnd.groove-vcard","t","f"
214,"H.261","video/h261",".h261","http://en.wikipedia.org/wiki/H261","t","f"
215,"H.263","video/h263",".h263","http://en.wikipedia.org/wiki/H263","t","f"
216,"H.264","video/h264",".h264","http://en.wikipedia.org/wiki/H264","t","f"
217,"Hewlett Packard Instant Delivery","application/vnd.hp-hpid",".hpid","http://www.iana.org/assignments/media-types/application/vnd.hp-hpid","t","f"
218,"Hewlett-Packard's WebPrintSmart","application/vnd.hp-hps",".hps","http://www.iana.org/assignments/media-types/application/vnd.hp-hps","t","f"
219,"Hierarchical Data Format","application/x-hdf",".hdf","http://en.wikipedia.org/wiki/Hierarchical_Data_Format","t","f"
220,"Hit'n'Mix","audio/vnd.rip",".rip","http://www.iana.org/assignments/media-types/audio/vnd.rip","t","f"
221,"Homebanking Computer Interface (HBCI)","application/vnd.hbci",".hbci","http://www.iana.org/assignments/media-types/application/vnd.hbci","t","f"
222,"HP Indigo Digital Press - Job Layout Languate","application/vnd.hp-jlyt",".jlt","http://www.iana.org/assignments/media-types/application/vnd.hp-jlyt","t","f"
223,"HP Printer Command Language","application/vnd.hp-pcl",".pcl","http://www.iana.org/assignments/media-types/application/vnd.hp-PCL","t","f"
224,"HP-GL/2 and HP RTL","application/vnd.hp-hpgl",".hpgl","http://www.iana.org/assignments/media-types/application/vnd.hp-HPGL","t","f"
225,"HV Script","application/vnd.yamaha.hv-script",".hvs","http://www.iana.org/assignments/media-types/application/vnd.yamaha.hv-script","t","f"
226,"HV Voice Dictionary","application/vnd.yamaha.hv-dic",".hvd","http://www.iana.org/assignments/media-types/application/vnd.yamaha.hv-dic","t","f"
227,"HV Voice Parameter","application/vnd.yamaha.hv-voice",".hvp","http://www.iana.org/assignments/media-types/application/vnd.yamaha.hv-voice","t","f"
228,"Hydrostatix Master Suite","application/vnd.hydrostatix.sof-data",".sfd-hdstx","http://www.iana.org/assignments/media-types/application/vnd.hydrostatix.sof-data","t","f"
229,"Hyperstudio","application/hyperstudio",".stk","http://www.iana.org/assignments/media-types/application/hyperstudio","t","f"
230,"Hypertext Application Language","application/vnd.hal+xml",".hal","http://www.iana.org/assignments/media-types/application/vnd.hal+xml","t","f"
231,"HyperText Markup Language (HTML)","text/html",".html","http://en.wikipedia.org/wiki/Html","f","f"
232,"IBM DB2 Rights Manager","application/vnd.ibm.rights-management",".irm","http://www.iana.org/assignments/media-types/application/vnd.ibm.rights-management","t","f"
233,"IBM Electronic Media Management System - Secure Container","application/vnd.ibm.secure-container",".sc","http://www.iana.org/assignments/media-types/application/vnd.ibm.secure-container","t","f"
234,"iCalendar","text/calendar",".ics","http://en.wikipedia.org/wiki/ICalendar","f","f"
235,"ICC profile","application/vnd.iccprofile",".icc","http://www.iana.org/assignments/media-types/application/vnd.iccprofile","t","f"
236,"Icon Image","image/x-icon",".ico","http://en.wikipedia.org/wiki/ICO_%28file_format%29","t","f"
237,"igLoader","application/vnd.igloader",".igl","http://www.iana.org/assignments/media-types/application/vnd.igloader","t","f"
238,"Image Exchange Format","image/ief",".ief","http://www.rfc-editor.org/rfc/rfc1314.txt","t","f"
239,"ImmerVision PURE Players","application/vnd.immervision-ivp",".ivp","http://www.iana.org/assignments/media-types/application/vnd.immervision-ivp","t","f"
240,"ImmerVision PURE Players","application/vnd.immervision-ivu",".ivu","http://www.iana.org/assignments/media-types/application/vnd.immervision-ivu","t","f"
